CpGs,Clock
cg22432269,Horvath
cg22449114,Horvath
cg22679120,Horvath
cg22736354,Horvath
cg22809047,Horvath
cg22901840,Horvath
cg22920873,Horvath
cg23517605,Horvath
cg23662675,Horvath
cg23941599,Horvath
cg24116886,Horvath
cg24126851,Horvath
cg24254120,Horvath
cg24262469,Horvath
cg24450312,Horvath
cg24580001,Horvath
cg24834740,Horvath
cg25070637,Horvath
cg25148589,Horvath
cg25505610,Horvath
cg25552492,Horvath
cg25683012,Horvath
cg25771195,Horvath
cg25781123,Horvath
cg26003813,Horvath
cg26005082,Horvath
cg26045434,Horvath
cg26297688,Horvath
cg26372517,Horvath
cg26453588,Horvath
cg26620959,Horvath
cg26842024,Horvath
cg26845300,Horvath
cg27092035,Horvath
cg27169020,Horvath
cg27319898,Horvath
cg27377450,Horvath
cg27413543,Horvath
cg27494383,Horvath
cg00091693,Horvath
cg00168942,Horvath
cg00431549,Horvath
cg00436603,Horvath
cg01027805,Horvath
cg01234063,Horvath
cg01262913,Horvath
cg01407797,Horvath
cg01459453,Horvath
cg01485645,Horvath
cg01511567,Horvath
cg01560871,Horvath
cg01570885,Horvath
cg01820374,Horvath
cg02047577,Horvath
cg02071305,Horvath
cg02275294,Horvath
cg02335441,Horvath
cg03019000,Horvath
cg03286783,Horvath
cg03330058,Horvath
cg03578041,Horvath
cg03682823,Horvath
cg03891319,Horvath
cg03947362,Horvath
cg04005032,Horvath
cg04094160,Horvath
cg04121983,Horvath
cg04268405,Horvath
cg04431054,Horvath
cg04452713,Horvath
cg04474832,Horvath
cg04999691,Horvath
cg05442902,Horvath
cg05590257,Horvath
cg05847778,Horvath
cg05903609,Horvath
cg06044899,Horvath
cg06117855,Horvath
cg06513075,Horvath
cg06688848,Horvath
cg06836772,Horvath
cg06926735,Horvath
cg07158339,Horvath
cg07388493,Horvath
cg07408456,Horvath
cg07498421,Horvath
cg07663789,Horvath
cg07730301,Horvath
cg07770222,Horvath
cg07849904,Horvath
cg08186124,Horvath
cg08331960,Horvath
cg09133026,Horvath
cg09441152,Horvath
cg09646392,Horvath
cg09722397,Horvath
cg09722555,Horvath
cg09809672,Horvath
cg10045881,Horvath
cg10266490,Horvath
cg10345936,Horvath
cg10865119,Horvath
cg10940099,Horvath
cg11025793,Horvath
cg11299964,Horvath
cg11314684,Horvath
cg11388238,Horvath
cg11653266,Horvath
cg12413566,Horvath
cg12616277,Horvath
cg12941369,Horvath
cg12985418,Horvath
cg13129046,Horvath
cg13269407,Horvath
cg13302154,Horvath
cg13547237,Horvath
cg13828047,Horvath
cg13931228,Horvath
cg14060828,Horvath
cg14163776,Horvath
cg14175438,Horvath
cg14408969,Horvath
cg14409958,Horvath
cg14423778,Horvath
cg14597908,Horvath
cg14654875,Horvath
cg14727952,Horvath
cg15185286,Horvath
cg15262928,Horvath
cg15703512,Horvath
cg15804973,Horvath
cg16034652,Horvath
cg16168311,Horvath
cg16358826,Horvath
cg16408394,Horvath
cg16419345,Horvath
cg16744741,Horvath
cg16899442,Horvath
cg16984944,Horvath
cg17274064,Horvath
cg17324128,Horvath
cg17338403,Horvath
cg17589341,Horvath
cg17686885,Horvath
cg18031008,Horvath
cg18139769,Horvath
cg18328933,Horvath
cg18956095,Horvath
cg19044674,Horvath
cg19046959,Horvath
cg19420968,Horvath
cg19569684,Horvath
cg19706682,Horvath
cg19722847,Horvath
cg19724470,Horvath
cg19761273,Horvath
cg19853760,Horvath
cg20100381,Horvath
cg20240860,Horvath
cg21211748,Horvath
cg21305265,Horvath
cg21370143,Horvath
cg21395782,Horvath
cg21950518,Horvath
cg22171829,Horvath
cg22190114,Horvath
cg22197830,Horvath
cg22568540,Horvath
cg22613010,Horvath
cg22637507,Horvath
cg22947000,Horvath
cg23092072,Horvath
cg23124451,Horvath
cg23180365,Horvath
cg23786576,Horvath
cg24058132,Horvath
cg24081819,Horvath
cg24471894,Horvath
cg24888049,Horvath
cg24899750,Horvath
cg25101936,Horvath
cg25159610,Horvath
cg25166896,Horvath
cg25411725,Horvath
cg25564800,Horvath
cg25657834,Horvath
cg25809905,Horvath
cg25928579,Horvath
cg26043391,Horvath
cg26162695,Horvath
cg26394940,Horvath
cg26456957,Horvath
cg26614073,Horvath
cg26723847,Horvath
cg26824091,Horvath
cg27015931,Horvath
cg27016307,Horvath
cg27202708,Horvath
cg27544190,Horvath
cg20822990,Hannum
cg22512670,Hannum
cg25410668,Hannum
cg04400972,Hannum
cg16054275,Hannum
cg10501210,Hannum
cg09809672,Hannum
ch.2.30415474F,Hannum
cg22158769,Hannum
cg02085953,Hannum
cg06639320,Hannum
cg22454769,Hannum
cg24079702,Hannum
cg23606718,Hannum
cg22016779,Hannum
cg04474832,Hannum
cg03607117,Hannum
cg07553761,Hannum
cg00481951,Hannum
cg25478614,Hannum
cg25428494,Hannum
cg02650266,Hannum
cg08234504,Hannum
cg23500537,Hannum
cg20052760,Hannum
cg16867657,Hannum
cg22736354,Hannum
cg06493994,Hannum
cg06685111,Hannum
cg00486113,Hannum
cg13001142,Hannum
cg20426994,Hannum
cg14361627,Hannum
cg08097417,Hannum
cg07955995,Hannum
cg22285878,Hannum
cg03473532,Hannum
cg08540945,Hannum
cg07927379,Hannum
cg16419235,Hannum
cg07583137,Hannum
cg22796704,Hannum
cg19935065,Hannum
cg23091758,Hannum
cg23744638,Hannum
cg04940570,Hannum
cg11067179,Hannum
cg22213242,Hannum
cg06419846,Hannum
cg02046143,Hannum
cg00748589,Hannum
cg19722847,Hannum
cg18473521,Hannum
cg01528542,Hannum
ch.13.39564907R,Hannum
cg03032497,Hannum
cg04875128,Hannum
cg21296230,Hannum
cg09651136,Hannum
cg03399905,Hannum
cg04416734,Hannum
cg07082267,Hannum
cg14692377,Hannum
cg06874016,Hannum
cg21139312,Hannum
cg02867102,Hannum
cg19283806,Hannum
cg14556683,Hannum
cg07547549,Hannum
cg05442902,Hannum
cg08415592,Hannum
cg00079056,PhenoAge
cg00083937,PhenoAge
cg00113951,PhenoAge
cg00168942,PhenoAge
cg00194146,PhenoAge
cg00230271,PhenoAge
cg00261781,PhenoAge
cg00297600,PhenoAge
cg00335286,PhenoAge
cg00338702,PhenoAge
cg00350702,PhenoAge
cg00410898,PhenoAge
cg00412772,PhenoAge
cg00412805,PhenoAge
cg00462994,PhenoAge
cg00503840,PhenoAge
cg00515905,PhenoAge
cg00582628,PhenoAge
cg00687674,PhenoAge
cg00744433,PhenoAge
cg00845900,PhenoAge
cg00862290,PhenoAge
cg00943950,PhenoAge
cg00955230,PhenoAge
cg01056568,PhenoAge
cg01114088,PhenoAge
cg01128603,PhenoAge
cg01131735,PhenoAge
cg01137065,PhenoAge
cg01211097,PhenoAge
cg01221637,PhenoAge
cg01252496,PhenoAge
cg01254459,PhenoAge
cg01261503,PhenoAge
cg01335367,PhenoAge
cg01400401,PhenoAge
cg01441777,PhenoAge
cg01450842,PhenoAge
cg01459453,PhenoAge
cg01511567,PhenoAge
cg01519742,PhenoAge
cg01623187,PhenoAge
cg01626227,PhenoAge
cg01651821,PhenoAge
cg01918706,PhenoAge
cg01930621,PhenoAge
cg01946401,PhenoAge
cg02016419,PhenoAge
cg02071305,PhenoAge
cg02151301,PhenoAge
cg02154074,PhenoAge
cg02197293,PhenoAge
cg02228185,PhenoAge
cg02229946,PhenoAge
cg02309431,PhenoAge
cg02480835,PhenoAge
cg02503970,PhenoAge
cg02631957,PhenoAge
cg02735486,PhenoAge
cg02802055,PhenoAge
cg02976574,PhenoAge
cg03007010,PhenoAge
cg03112869,PhenoAge
cg03172991,PhenoAge
cg03258472,PhenoAge
cg03340261,PhenoAge
cg03387497,PhenoAge
cg03535648,PhenoAge
cg03565081,PhenoAge
cg03623878,PhenoAge
cg03703325,PhenoAge
cg03724882,PhenoAge
cg03819692,PhenoAge
cg03929796,PhenoAge
cg03977782,PhenoAge
cg03991512,PhenoAge
cg04007936,PhenoAge
cg04014889,PhenoAge
cg04084157,PhenoAge
cg04087608,PhenoAge
cg04169469,PhenoAge
cg04333463,PhenoAge
cg04359302,PhenoAge
cg04416752,PhenoAge
cg04424621,PhenoAge
cg04480914,PhenoAge
cg04528819,PhenoAge
cg04601137,PhenoAge
cg04616566,PhenoAge
cg04718414,PhenoAge
cg04736140,PhenoAge
cg04755031,PhenoAge
cg04818845,PhenoAge
cg04836038,PhenoAge
cg05087948,PhenoAge
cg05089968,PhenoAge
cg05125838,PhenoAge
cg05228408,PhenoAge
cg05270634,PhenoAge
cg05294243,PhenoAge
cg05316065,PhenoAge
cg05422352,PhenoAge
cg05440289,PhenoAge
cg05441133,PhenoAge
cg05442902,PhenoAge
cg05473871,PhenoAge
cg05492270,PhenoAge
cg05501584,PhenoAge
cg05532892,PhenoAge
cg05697249,PhenoAge
cg05759269,PhenoAge
cg05851163,PhenoAge
cg05898102,PhenoAge
cg06134964,PhenoAge
cg06144905,PhenoAge
cg06171242,PhenoAge
cg06189653,PhenoAge
cg06295856,PhenoAge
cg06327515,PhenoAge
cg06363129,PhenoAge
cg06493994,PhenoAge
cg06533629,PhenoAge
cg06637774,PhenoAge
cg06638451,PhenoAge
cg06690548,PhenoAge
cg06908778,PhenoAge
cg06958034,PhenoAge
cg06975499,PhenoAge
cg06994793,PhenoAge
cg07038400,PhenoAge
cg07073964,PhenoAge
cg07180649,PhenoAge
cg07211259,PhenoAge
cg07236943,PhenoAge
cg07265300,PhenoAge
cg07484827,PhenoAge
cg07494518,PhenoAge
cg07654934,PhenoAge
cg07817698,PhenoAge
cg07850604,PhenoAge
cg07929310,PhenoAge
cg08035942,PhenoAge
cg08067365,PhenoAge
cg08074477,PhenoAge
cg08169325,PhenoAge
cg08212685,PhenoAge
cg08251399,PhenoAge
cg08331960,PhenoAge
cg08424423,PhenoAge
cg08475827,PhenoAge
cg08487374,PhenoAge
cg08529529,PhenoAge
cg08586737,PhenoAge
cg08587542,PhenoAge
cg08654655,PhenoAge
cg08668790,PhenoAge
cg08694544,PhenoAge
cg08872493,PhenoAge
cg08896629,PhenoAge
cg08899632,PhenoAge
cg08900043,PhenoAge
cg09045681,PhenoAge
cg09096950,PhenoAge
cg09196959,PhenoAge
cg09254939,PhenoAge
cg09294589,PhenoAge
cg09304040,PhenoAge
cg09322949,PhenoAge
cg09404633,PhenoAge
cg09413557,PhenoAge
cg09434995,PhenoAge
cg09480837,PhenoAge
cg09548179,PhenoAge
cg09556292,PhenoAge
cg09630437,PhenoAge
cg09799873,PhenoAge
cg09809672,PhenoAge
cg09851465,PhenoAge
cg09892203,PhenoAge
cg10052840,PhenoAge
cg10158181,PhenoAge
cg10202457,PhenoAge
cg10225525,PhenoAge
cg10523019,PhenoAge
cg10570177,PhenoAge
cg10591174,PhenoAge
cg10636246,PhenoAge
cg10654016,PhenoAge
cg10667970,PhenoAge
cg10669058,PhenoAge
cg10795646,PhenoAge
cg10878896,PhenoAge
cg10900550,PhenoAge
cg10917602,PhenoAge
cg10922280,PhenoAge
cg11177450,PhenoAge
cg11233384,PhenoAge
cg11237115,PhenoAge
cg11426590,PhenoAge
cg11459714,PhenoAge
cg11487705,PhenoAge
cg11490446,PhenoAge
cg11600161,PhenoAge
cg11618577,PhenoAge
cg11631518,PhenoAge
cg11833861,PhenoAge
cg11896923,PhenoAge
cg11903057,PhenoAge
cg12145907,PhenoAge
cg12177001,PhenoAge
cg12188560,PhenoAge
cg12238343,PhenoAge
cg12247247,PhenoAge
cg12261786,PhenoAge
cg12265604,PhenoAge
cg12269343,PhenoAge
cg12289045,PhenoAge
cg12324144,PhenoAge
cg12373771,PhenoAge
cg12402251,PhenoAge
cg12473775,PhenoAge
cg12743894,PhenoAge
cg12813792,PhenoAge
cg12864235,PhenoAge
cg12985418,PhenoAge
cg12991365,PhenoAge
cg13042288,PhenoAge
cg13119609,PhenoAge
cg13120519,PhenoAge
cg13218906,PhenoAge
cg13258700,PhenoAge
cg13296371,PhenoAge
cg13307384,PhenoAge
cg13323474,PhenoAge
cg13351161,PhenoAge
cg13409216,PhenoAge
cg13449372,PhenoAge
cg13460409,PhenoAge
cg13509147,PhenoAge
cg13510262,PhenoAge
cg13514050,PhenoAge
cg13550877,PhenoAge
cg13564075,PhenoAge
cg13571802,PhenoAge
cg13587552,PhenoAge
cg13613532,PhenoAge
cg13631913,PhenoAge
cg13654195,PhenoAge
cg13656062,PhenoAge
cg13656360,PhenoAge
cg13700897,PhenoAge
cg13718960,PhenoAge
cg13843773,PhenoAge
cg13854874,PhenoAge
cg13861644,PhenoAge
cg13899108,PhenoAge
cg13975369,PhenoAge
cg13994175,PhenoAge
cg14009688,PhenoAge
cg14105047,PhenoAge
cg14159818,PhenoAge
cg14175438,PhenoAge
cg14223995,PhenoAge
cg14281160,PhenoAge
cg14350002,PhenoAge
cg14423778,PhenoAge
cg14467840,PhenoAge
cg14473016,PhenoAge
cg14550518,PhenoAge
cg14689355,PhenoAge
cg14747225,PhenoAge
cg14754581,PhenoAge
cg14916213,PhenoAge
cg14918082,PhenoAge
cg14972143,PhenoAge
cg15013019,PhenoAge
cg15171237,PhenoAge
cg15201877,PhenoAge
cg15344028,PhenoAge
cg15381313,PhenoAge
cg15427448,PhenoAge
cg15447479,PhenoAge
cg15489301,PhenoAge
cg15498283,PhenoAge
cg15551881,PhenoAge
cg15569512,PhenoAge
cg15611364,PhenoAge
cg15642326,PhenoAge
cg15811427,PhenoAge
cg15856055,PhenoAge
cg15881088,PhenoAge
cg15887846,PhenoAge
cg15903282,PhenoAge
cg15963417,PhenoAge
cg15966757,PhenoAge
cg16085042,PhenoAge
cg16173067,PhenoAge
cg16295988,PhenoAge
cg16313343,PhenoAge
cg16319578,PhenoAge
cg16340918,PhenoAge
cg16354207,PhenoAge
cg16357381,PhenoAge
cg16372520,PhenoAge
cg16408970,PhenoAge
cg16466334,PhenoAge
cg16543027,PhenoAge
cg16612562,PhenoAge
cg16648841,PhenoAge
cg16713727,PhenoAge
cg16718891,PhenoAge
cg16728114,PhenoAge
cg16743289,PhenoAge
cg16816226,PhenoAge
cg16854606,PhenoAge
cg16933388,PhenoAge
cg16984944,PhenoAge
cg17009433,PhenoAge
cg17038116,PhenoAge
cg17129388,PhenoAge
cg17133388,PhenoAge
cg17324128,PhenoAge
cg17431739,PhenoAge
cg17526300,PhenoAge
cg17536848,PhenoAge
cg17605084,PhenoAge
cg17627559,PhenoAge
cg17641104,PhenoAge
cg17726022,PhenoAge
cg17749443,PhenoAge
cg17770886,PhenoAge
cg17861230,PhenoAge
cg17896249,PhenoAge
cg17903544,PhenoAge
cg17923358,PhenoAge
cg17940013,PhenoAge
cg17966192,PhenoAge
cg18001427,PhenoAge
cg18003795,PhenoAge
cg18117393,PhenoAge
cg18241647,PhenoAge
cg18267374,PhenoAge
cg18384097,PhenoAge
cg18392482,PhenoAge
cg18468844,PhenoAge
cg18587364,PhenoAge
cg18691434,PhenoAge
cg18693704,PhenoAge
cg18732541,PhenoAge
cg18771300,PhenoAge
cg18809289,PhenoAge
cg18881501,PhenoAge
cg18996776,PhenoAge
cg19008809,PhenoAge
cg19028160,PhenoAge
cg19104072,PhenoAge
cg19149785,PhenoAge
cg19287114,PhenoAge
cg19297232,PhenoAge
cg19345165,PhenoAge
cg19356189,PhenoAge
cg19371795,PhenoAge
cg19378133,PhenoAge
cg19398783,PhenoAge
cg19439331,PhenoAge
cg19514469,PhenoAge
cg19556572,PhenoAge
cg19560210,PhenoAge
cg19566405,PhenoAge
cg19573166,PhenoAge
cg19586576,PhenoAge
cg19615059,PhenoAge
cg19632206,PhenoAge
cg19663795,PhenoAge
cg19685066,PhenoAge
cg19686152,PhenoAge
cg19722847,PhenoAge
cg19724470,PhenoAge
cg19731122,PhenoAge
cg19883905,PhenoAge
cg20066677,PhenoAge
cg20090497,PhenoAge
cg20162159,PhenoAge
cg20173259,PhenoAge
cg20234170,PhenoAge
cg20492933,PhenoAge
cg20550118,PhenoAge
cg20570279,PhenoAge
cg20572838,PhenoAge
cg20652640,PhenoAge
cg20674577,PhenoAge
cg20761322,PhenoAge
cg20828084,PhenoAge
cg20891917,PhenoAge
cg20967028,PhenoAge
cg21006686,PhenoAge
cg21053529,PhenoAge
cg21081971,PhenoAge
cg21099326,PhenoAge
cg21120249,PhenoAge
cg21137706,PhenoAge
cg21184495,PhenoAge
cg21200703,PhenoAge
cg21201109,PhenoAge
cg21207418,PhenoAge
cg21296230,PhenoAge
cg21363706,PhenoAge
cg21649520,PhenoAge
cg21712685,PhenoAge
cg21762589,PhenoAge
cg21801378,PhenoAge
cg21835643,PhenoAge
cg21907579,PhenoAge
cg21926612,PhenoAge
cg21993406,PhenoAge
cg22090592,PhenoAge
cg22179082,PhenoAge
cg22194129,PhenoAge
cg22197830,PhenoAge
cg22282672,PhenoAge
cg22395019,PhenoAge
cg22396353,PhenoAge
cg22407458,PhenoAge
cg22473095,PhenoAge
cg22484793,PhenoAge
cg22495124,PhenoAge
cg22511262,PhenoAge
cg22512531,PhenoAge
cg22580353,PhenoAge
cg22582569,PhenoAge
cg22594309,PhenoAge
cg22736354,PhenoAge
cg22809047,PhenoAge
cg22947000,PhenoAge
cg22971191,PhenoAge
cg22983092,PhenoAge
cg22991148,PhenoAge
cg23124451,PhenoAge
cg23127998,PhenoAge
cg23152772,PhenoAge
cg23159337,PhenoAge
cg23173910,PhenoAge
cg23191950,PhenoAge
cg23213217,PhenoAge
cg23234999,PhenoAge
cg23239039,PhenoAge
cg23338195,PhenoAge
cg23376526,PhenoAge
cg23568913,PhenoAge
cg23668631,PhenoAge
cg23710218,PhenoAge
cg23818978,PhenoAge
cg23832061,PhenoAge
cg24110063,PhenoAge
cg24125648,PhenoAge
cg24208206,PhenoAge
cg24304712,PhenoAge
cg24332433,PhenoAge
cg24407308,PhenoAge
cg24493940,PhenoAge
cg24505122,PhenoAge
cg24505341,PhenoAge
cg24556026,PhenoAge
cg24651706,PhenoAge
cg24674703,PhenoAge
cg24921089,PhenoAge
cg25022327,PhenoAge
cg25092328,PhenoAge
cg25136687,PhenoAge
cg25229964,PhenoAge
cg25251635,PhenoAge
cg25256723,PhenoAge
cg25428451,PhenoAge
cg25459323,PhenoAge
cg25536676,PhenoAge
cg25713185,PhenoAge
cg25769980,PhenoAge
cg25881193,PhenoAge
cg25898500,PhenoAge
cg26022315,PhenoAge
cg26091688,PhenoAge
cg26096837,PhenoAge
cg26104204,PhenoAge
cg26109803,PhenoAge
cg26201213,PhenoAge
cg26212924,PhenoAge
cg26219051,PhenoAge
cg26312920,PhenoAge
cg26350286,PhenoAge
cg26357744,PhenoAge
cg26382071,PhenoAge
cg26394737,PhenoAge
cg26394940,PhenoAge
cg26581729,PhenoAge
cg26614073,PhenoAge
cg26665419,PhenoAge
cg26711820,PhenoAge
cg26746469,PhenoAge
cg26815229,PhenoAge
cg26824091,PhenoAge
cg26842024,PhenoAge
cg26866325,PhenoAge
cg26898166,PhenoAge
cg26932976,PhenoAge
cg27015931,PhenoAge
cg27187881,PhenoAge
cg27244482,PhenoAge
cg27367952,PhenoAge
cg27440834,PhenoAge
cg27493997,PhenoAge
cg27514224,PhenoAge
cg27626102,PhenoAge
cg27655905,PhenoAge
cg09809672,Weidner
cg01820374,Weidner
cg16744741,Weidner
cg15195412,Weidner
cg26614073,Weidner
cg19722847,Weidner
cg12554573,Weidner
cg15538427,Weidner
cg23124451,Weidner
cg25809905,Weidner
cg17471102,Weidner
cg13406950,Weidner
cg25538571,Weidner
cg01560871,Weidner
cg26581729,Weidner
cg19761273,Weidner
cg26394940,Weidner
cg09462576,Weidner
cg23320649,Weidner
cg07388493,Weidner
cg21448423,Weidner
cg04474832,Weidner
cg16363586,Weidner
cg02228185,Weidner
cg25268718,Weidner
cg05379350,Weidner
cg08090640,Weidner
cg25256723,Weidner
cg04036898,Weidner
cg07810156,Weidner
cg01739167,Weidner
cg07211259,Weidner
cg15804973,Weidner
cg10917602,Weidner
cg26610808,Weidner
cg00563932,Weidner
cg03340878,Weidner
cg04123409,Weidner
cg22947000,Weidner
cg19724470,Weidner
cg17421623,Weidner
cg03224418,Weidner
cg22580512,Weidner
cg05228408,Weidner
cg23679724,Weidner
cg05331214,Weidner
cg19046959,Weidner
cg18660898,Weidner
cg22919728,Weidner
cg26927807,Weidner
cg08468689,Weidner
cg13129046,Weidner
cg20654468,Weidner
cg21120249,Weidner
cg17431739,Weidner
cg15297650,Weidner
cg20366832,Weidner
cg08598221,Weidner
cg13807496,Weidner
cg24178740,Weidner
cg02994956,Weidner
cg13870866,Weidner
cg05436231,Weidner
cg21870884,Weidner
cg02844545,Weidner
cg27320127,Weidner
cg15379633,Weidner
cg08209133,Weidner
cg25947945,Weidner
cg03958979,Weidner
cg08012287,Weidner
cg05488632,Weidner
cg07752420,Weidner
cg14456683,Weidner
cg06291867,Weidner
cg21801378,Weidner
cg24713204,Weidner
cg21992250,Weidner
cg25762706,Weidner
cg12883767,Weidner
cg21788470,Weidner
cg00489401,Weidner
cg18182399,Weidner
cg17791651,Weidner
cg25431974,Weidner
cg05294455,Weidner
cg16386080,Weidner
cg16352283,Weidner
cg20264732,Weidner
cg06638433,Weidner
cg22736354,Weidner
cg06493994,Weidner
cg00059225,Weidner
cg14918082,Weidner
cg21296230,Weidner
cg24768561,Weidner
cg07621046,Weidner
cg02489552,Weidner
cg27553955,Weidner
cg13870494,Weidner
cg17861230,Weidner
cg00503840,Weidner
cg12140144,SnB
cg26933021,SnB
cg20822990,SnB
cg07312601,SnB
cg09993145,SnB
cg23605843,SnB
cg25410668,SnB
cg17879376,SnB
cg14962509,SnB
cg24375409,SnB
cg22851420,SnB
cg24107728,SnB
cg14614643,SnB
cg00257455,SnB
cg23045908,SnB
cg15201877,SnB
cg18933331,SnB
cg05675373,SnB
cg19269039,SnB
cg16008966,SnB
cg14565725,SnB
cg05940231,SnB
cg03984502,SnB
cg25256723,SnB
cg16054275,SnB
cg01459453,SnB
cg16599143,SnB
cg02275294,SnB
cg21870884,SnB
cg10501210,SnB
cg02901139,SnB
cg11298786,SnB
cg09809672,SnB
cg05940691,SnB
cg12869659,SnB
cg23028740,SnB
cg10959651,SnB
cg00522231,SnB
cg01752203,SnB
cg23643435,SnB
cg01243072,SnB
cg07589899,SnB
cg10855531,SnB
cg22943590,SnB
cg23398076,SnB
cg12082609,SnB
cg01447660,SnB
cg02085953,SnB
cg15149655,SnB
cg22809047,SnB
cg06639320,SnB
cg22454769,SnB
cg00017842,SnB
cg23606718,SnB
cg22061831,SnB
cg12757011,SnB
cg01620164,SnB
cg12105450,SnB
cg00760938,SnB
cg10376763,SnB
cg23077820,SnB
cg08166272,SnB
cg10523019,SnB
cg23462687,SnB
cg20669012,SnB
cg03183882,SnB
cg15910502,SnB
cg12941369,SnB
cg02244028,SnB
cg24888989,SnB
cg00702638,SnB
cg07303143,SnB
cg26614073,SnB
cg15988232,SnB
cg16933388,SnB
cg19381811,SnB
cg03019000,SnB
cg01844642,SnB
cg04474832,SnB
cg03891319,SnB
cg03607117,SnB
cg22264409,SnB
cg11205552,SnB
cg17321954,SnB
cg06796779,SnB
cg18303397,SnB
cg09025210,SnB
cg14423778,SnB
cg15277914,SnB
cg07553761,SnB
cg06737494,SnB
cg01059398,SnB
cg26824216,SnB
cg25478614,SnB
cg07110949,SnB
cg23239150,SnB
cg21254939,SnB
cg23995914,SnB
cg23836737,SnB
cg05960024,SnB
cg10699857,SnB
cg05024939,SnB
cg05106770,SnB
cg06690548,SnB
cg02650266,SnB
cg01511232,SnB
cg25148589,SnB
cg24843443,SnB
cg03364683,SnB
cg21815258,SnB
cg12608692,SnB
cg20755989,SnB
cg12238343,SnB
cg02328239,SnB
cg21878650,SnB
cg26921969,SnB
cg10837404,SnB
cg01883408,SnB
cg06448705,SnB
cg16983159,SnB
cg08234504,SnB
cg11006267,SnB
cg21874213,SnB
cg23500537,SnB
cg26843711,SnB
cg08587542,SnB
cg10345936,SnB
cg16281600,SnB
cg03555227,SnB
cg14345676,SnB
cg14314729,SnB
cg23517605,SnB
cg01570885,SnB
cg23375552,SnB
cg20052760,SnB
cg16867657,SnB
cg21572722,SnB
cg00194146,SnB
cg01527307,SnB
cg22736354,SnB
cg10699171,SnB
cg06493994,SnB
cg04424621,SnB
cg02281167,SnB
cg03771840,SnB
cg06685111,SnB
cg06462220,SnB
cg08420066,SnB
cg21467614,SnB
cg12753631,SnB
cg18501647,SnB
